ticker,level,timeframe,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,pct_return,squeeze_count,depth,momentum
GD,HIGH,weekly,SHORT,2024-12-16,256.7655273535677,2025-05-19,277.3067695418531,STOP,-8.000000000000004,20,0.25660220768289366,-0.10396986669929864
SHOP,HIGH,weekly,SHORT,2022-01-17,108.72100067138672,2022-01-24,86.97680053710938,TARGET,19.999999999999993,12,0.2555862949938989,-0.1966193261938275
MCO,HIGH,weekly,SHORT,2022-01-24,324.26240166906075,2022-06-13,259.4099213352486,TARGET,19.999999999999996,12,0.2664003807704443,-0.07216713175410827
ZTO,HIGH,weekly,SHORT,2022-10-31,15.566415927898252,2022-11-07,16.811729202130113,STOP,-8.000000000000009,49,0.29101930136833676,-0.1621727095639871
CTSH,HIGH,weekly,SHORT,2022-05-16,68.72316978020905,2022-09-19,54.97853582416724,TARGET,20.0,12,0.287093274771113,-0.13271427313584105
ESS,HIGH,weekly,SHORT,2025-01-13,264.58333891055594,2025-02-03,285.75000602340043,STOP,-8.000000000000007,10,0.2833155031583432,-0.013294843067228057
VIPS,HIGH,weekly,SHORT,2024-07-01,12.727442850507648,2024-07-08,13.745638278548261,STOP,-8.00000000000001,34,0.32424629996427423,-0.13595162296361385
AON,HIGH,weekly,SHORT,2024-01-01,287.2779624804556,2024-02-12,310.26019947889205,STOP,-8.000000000000005,22,0.30456284986214976,-0.09859960262018841
SEE,HIGH,weekly,SHORT,2022-06-20,52.6018087965967,2022-07-25,56.80995350032444,STOP,-8.000000000000007,17,0.3156519087726334,-0.12346425113308057
SEE,HIGH,weekly,SHORT,2025-03-24,28.976837929344615,2025-04-07,23.181470343475695,TARGET,19.99999999999999,35,0.25750492326407637,-0.11074727149358365
TQQQ,HIGH,weekly,SHORT,2025-03-24,32.26236757463155,2025-03-31,25.80989405970524,TARGET,19.999999999999993,10,0.2549599161826371,-0.25212974537871935
MMC,HIGH,weekly,SHORT,2025-01-06,206.51462910255574,2025-02-03,223.03579943076022,STOP,-8.000000000000009,11,0.30426563636197157,-0.03557308997579145
AVY,HIGH,weekly,SHORT,2022-02-14,170.8010722987394,2022-08-08,184.46515808263857,STOP,-8.00000000000001,21,0.2842306046148871,-0.15667135216223083
UNP,HIGH,weekly,SHORT,2021-09-20,180.3547502483972,2021-10-04,194.783130268269,STOP,-8.000000000000004,10,0.37901523012268235,-0.028123426440072485
MRK,HIGH,weekly,SHORT,2024-08-19,107.94973748903098,2025-02-03,86.35978999122479,TARGET,20.0,11,0.3132861024242004,-0.12161528869326499
