ticker,level,timeframe,direction,entry_date,entry_price,exit_date,exit_price,exit_reason,pct_return,squeeze_count,depth,momentum
NVDA,LOW,weekly,SHORT,2022-09-26,12.47531756543905,2022-10-03,13.473342970674176,STOP,-8.000000000000012,4,0.1368873547208263,-0.22912982439075968
BMY,LOW,weekly,SHORT,2023-05-29,55.72679487728091,2023-10-23,44.58143590182473,TARGET,19.99999999999999,4,0.05693597408321422,-0.05411917323507409
BMY,LOW,weekly,SHORT,2023-07-17,54.997531197240676,2023-11-20,43.998024957792545,TARGET,19.999999999999993,3,0.05705418413524177,-0.11071697474694853
BMY,LOW,weekly,SHORT,2023-08-07,53.68447611133914,2024-03-04,48.766319274902344,TIME,9.161227216293891,2,0.07566483045628208,-0.09076064360108793
BMY,LOW,weekly,SHORT,2023-10-09,50.277090102547916,2024-04-29,40.22167208203834,TARGET,19.99999999999999,4,0.021698605458315423,-0.06535304049551094
KDP,LOW,weekly,SHORT,2021-08-16,30.73098755040535,2022-01-03,33.18946655443778,STOP,-8.000000000000007,2,0.3548693030405655,-0.04371933982153242
KDP,LOW,weekly,SHORT,2024-03-11,27.629013964302768,2024-04-15,29.83933508144699,STOP,-8.000000000000002,1,0.04165871147087323,-0.08207884811965471
CRWD,LOW,weekly,SHORT,2022-06-20,165.0,2022-06-27,178.20000000000002,STOP,-8.00000000000001,6,0.04783394648320392,-0.18619624478013874
ETSY,LOW,weekly,SHORT,2023-03-20,104.43000030517578,2023-04-03,112.78440032958986,STOP,-8.000000000000012,1,0.08053643942332554,-0.1610196040771842
ETSY,LOW,weekly,SHORT,2023-07-31,100.19999694824219,2023-08-07,80.15999755859376,TARGET,19.999999999999993,1,0.08206814976212663,-0.04246264443592618
ETSY,LOW,weekly,SHORT,2023-08-28,72.73999786376953,2023-11-27,78.5591976928711,STOP,-8.000000000000002,3,0.1178739727753221,-0.1373786994937286
ETSY,LOW,weekly,SHORT,2024-06-10,64.44000244140625,2024-08-12,51.552001953125,TARGET,20.0,4,0.10855263545072669,-0.12225137099095407
ZTS,LOW,weekly,SHORT,2023-10-30,152.53048242097532,2023-11-06,164.73292101465336,STOP,-8.000000000000009,22,0.07826794233763765,-0.12011586803559482
LMT,LOW,weekly,SHORT,2021-08-16,316.54436656723055,2022-01-17,341.867915892609,STOP,-8.000000000000002,2,0.36795887452793447,-0.06725959365216205
LMT,LOW,weekly,SHORT,2021-11-08,304.2718497856912,2022-01-10,328.6135977685465,STOP,-8.000000000000014,1,0.12624303411917875,-0.07547624492479021
LMT,LOW,weekly,SHORT,2022-07-25,358.8188575269865,2022-08-01,387.52436612914545,STOP,-8.000000000000005,2,0.30911768819527086,-0.10076216925807036
LMT,LOW,weekly,SHORT,2024-03-04,408.65436988446913,2024-04-15,441.3467194752267,STOP,-8.000000000000004,1,0.19219575777758324,-0.033858996636728755
CLF,LOW,weekly,SHORT,2024-05-06,17.780000686645508,2024-07-29,14.224000549316408,TARGET,19.999999999999993,1,0.13971012559644436,-0.12094400065716315
CLF,LOW,weekly,SHORT,2025-05-19,7.400000095367432,2025-05-26,5.920000076293945,TARGET,20.0,9,0.042473077166145436,-0.39024387812506955
PGR,LOW,weekly,SHORT,2021-08-02,85.64576657048629,2021-12-13,92.4974278961252,STOP,-8.000000000000014,2,0.17766924426207928,-0.05870741042463157
PGR,LOW,weekly,SHORT,2025-01-06,223.70318132763214,2025-02-10,241.59943583384273,STOP,-8.00000000000001,1,0.24281283504396242,-0.055784923183793134
MKTX,LOW,weekly,SHORT,2022-04-18,250.95512434196374,2022-05-23,271.03153428932086,STOP,-8.000000000000009,11,0.09921448099029104,-0.24209460550657114
KO,LOW,weekly,SHORT,2021-10-18,47.86290726583946,2021-12-13,51.69193984710662,STOP,-8.0,1,0.20244901300611257,-0.03318355037005427
CMS,LOW,weekly,SHORT,2021-08-16,55.36562486461424,2022-03-14,58.41775894165039,TIME,-5.512687853699014,1,0.24863148502980498,-0.0036221153067160783
CMS,LOW,weekly,SHORT,2021-11-01,52.49513764412157,2021-12-13,56.6947486556513,STOP,-8.000000000000014,3,0.06994412973193675,-0.004972073047802228
CMS,LOW,weekly,SHORT,2021-11-15,52.87753748495725,2021-12-13,57.10774048375384,STOP,-8.00000000000001,1,0.12256597680828353,-0.0463282388096008
CMS,LOW,weekly,SHORT,2022-07-25,57.69138919009001,2022-08-08,62.306700325297214,STOP,-8.00000000000001,2,0.1838424127555848,-0.07127478961056077
CMS,LOW,weekly,SHORT,2022-10-10,49.527046512747155,2022-11-07,53.48921023376693,STOP,-8.00000000000001,6,0.08157252763191565,-0.11195166220204977
CMS,LOW,weekly,SHORT,2025-01-06,63.967936058791196,2025-02-17,69.0853709434945,STOP,-8.000000000000007,2,0.31027639494486414,-0.05123578595655087
PFG,LOW,weekly,SHORT,2023-03-20,63.82740723446759,2023-04-10,68.933599813225,STOP,-8.000000000000002,2,0.3382343116194777,-0.09314654882752582
PFG,LOW,weekly,SHORT,2025-06-02,74.7703628540039,2025-07-28,80.75199188232422,STOP,-8.0,13,0.09359636292177229,-0.1272096263886311
IQV,LOW,weekly,SHORT,2022-10-03,184.24000549316406,2022-10-24,198.9792059326172,STOP,-8.000000000000002,4,0.15261729255514186,-0.11913513142248311
IQV,LOW,weekly,SHORT,2023-10-09,197.07000732421875,2023-11-27,212.83560791015626,STOP,-8.000000000000004,2,0.10059461355818368,-0.09252339737318827
IQV,LOW,weekly,SHORT,2024-11-18,191.41000366210938,2024-11-25,206.72280395507815,STOP,-8.000000000000012,1,0.1009771961969088,-0.08513128047236718
SHOP,LOW,weekly,SHORT,2023-10-09,52.40999984741211,2023-10-30,56.60279983520508,STOP,-8.00000000000001,4,0.22371108273912219,-0.11512889062637244
SHOP,LOW,weekly,SHORT,2024-04-22,70.05000305175781,2024-05-06,75.65400329589845,STOP,-8.000000000000016,4,0.32365470855355105,-0.12510938468901378
SHOP,LOW,weekly,SHORT,2025-04-07,70.29499816894531,2025-04-14,75.91859802246094,STOP,-8.000000000000004,1,0.31553742634259546,-0.11505720544461528
RL,LOW,weekly,SHORT,2021-08-02,104.15504901395305,2021-08-09,112.4874529350693,STOP,-8.000000000000009,3,0.18270439831241156,-0.17003513981186136
RL,LOW,weekly,SHORT,2021-09-06,104.41862711033798,2021-10-18,112.77211727916503,STOP,-8.000000000000012,4,0.1352850890663303,-0.014704775198486897
RL,LOW,weekly,SHORT,2023-09-25,107.07100448538021,2023-11-13,115.63668484421063,STOP,-8.000000000000004,6,0.06265184356314027,-0.04226778122241093
AMZN,LOW,weekly,SHORT,2022-02-14,151.75100708007812,2022-03-21,163.89108764648438,STOP,-8.000000000000004,1,0.13077953488717764,-0.1056296083908771
AMZN,LOW,weekly,SHORT,2022-05-09,111.3125,2022-05-30,120.2175,STOP,-8.000000000000002,4,0.13065655971382742,-0.21160936794300533
