ticker,level,entry_date,entry_price,exit_date,exit_price,exit_reason,pct_return,squeeze_count,depth
PGR,HIGH,2022-01-03,93.24730715845864,2022-08-01,107.89399719238281,TIME,15.707359794352566,13,0.25542395062987727
DOW,HIGH,2022-03-28,51.813251524377634,2022-06-13,47.668191402427425,STOP,-7.999999999999997,22,0.2902185350366948
A,HIGH,2022-09-12,134.08184944351976,2022-09-19,123.35530148803818,STOP,-7.999999999999999,16,0.25115032317583064
CTSH,HIGH,2023-07-17,65.4437371850184,2023-10-30,60.20823821021693,STOP,-8.000000000000002,10,0.26828788616215793
NRG,HIGH,2023-07-10,35.9249072675222,2023-10-30,43.10988872102664,TARGET,20.000000000000004,11,0.334728060347738
LEN,HIGH,2022-08-15,80.84419018966399,2022-08-22,74.37665497449088,STOP,-7.999999999999995,10,0.3153205879585085
FOX,HIGH,2023-02-13,31.77170758879542,2023-03-06,29.229970981691785,STOP,-8.0,10,0.2845409801100122
GL,HIGH,2022-01-17,102.49627206728191,2022-02-28,94.29657030189937,STOP,-7.99999999999999,12,0.3518283640670723
AVY,HIGH,2022-08-15,188.67399252630966,2022-08-29,173.5800731242049,STOP,-8.0,10,0.25955584451195496
TMUS,HIGH,2023-11-27,143.9304446280752,2024-06-03,172.71653355369025,TARGET,20.000000000000004,13,0.26453570013957484
HSIC,HIGH,2022-03-07,86.72000122070312,2022-05-02,79.78240112304688,STOP,-7.999999999999993,27,0.2527505749979648
OXY,HIGH,2023-09-11,63.05828574762488,2023-10-02,58.01362288781489,STOP,-7.999999999999999,23,0.25433645270776184
CPB,HIGH,2022-01-17,39.975943828118666,2022-02-21,36.77786832186917,STOP,-8.000000000000004,12,0.2889776417173314
RBLX,HIGH,2021-11-22,140.73500061035156,2021-11-29,129.47620056152346,STOP,-7.999999999999988,17,0.35983402326706954
JPM,HIGH,2022-11-07,121.11945144823723,2023-06-05,132.36822509765625,TIME,9.287338668493232,11,0.3294770064747529
BRK-B,HIGH,2022-01-10,321.3999938964844,2022-01-24,295.68799438476566,STOP,-7.999999999999989,14,0.3048647340931418
BABA,HIGH,2024-05-20,84.18650219530882,2024-05-27,77.45158201968411,STOP,-8.000000000000004,14,0.3380699106534056
TOST,HIGH,2022-10-24,20.780000686645508,2022-10-31,19.117600631713866,STOP,-8.000000000000004,22,0.25355938351226354
SPGI,HIGH,2024-07-15,473.693660344219,2025-02-10,535.7288208007812,TIME,13.096050390770097,15,0.27655114787660223
TDY,HIGH,2022-04-11,480.6499938964844,2022-04-25,442.19799438476565,STOP,-7.999999999999995,38,0.25061797941247305
