ticker,level,entry_date,entry_price,exit_date,exit_price,exit_reason,pct_return,squeeze_count,depth
BMY,MED,2022-11-28,68.60592159213758,2022-12-19,63.117447864766575,STOP,-7.999999999999993,18,0.16468812787246384
KDP,MED,2022-01-17,35.17146393668995,2022-02-21,32.35774682175476,STOP,-7.999999999999995,17,0.24952414185181118
KDP,MED,2022-08-15,35.71485714836672,2022-09-26,32.85766857649738,STOP,-7.999999999999997,18,0.17096686739647252
KDP,MED,2025-04-21,34.64134324512062,2025-05-12,31.870035785510975,STOP,-7.9999999999999964,7,0.28030492495730036
AZO,MED,2022-11-21,2477.75,2023-05-29,2279.53,STOP,-7.999999999999992,8,0.12357731292779046
AZO,MED,2023-05-01,2669.929931640625,2023-05-22,2456.3355371093753,STOP,-7.999999999999989,10,0.12624253054286685
AZO,MED,2024-03-04,3028.389892578125,2024-05-20,2786.1187011718753,STOP,-7.99999999999999,24,0.10630503188654954
AZO,MED,2025-02-17,3451.0,2025-08-18,4141.2,TARGET,19.999999999999996,17,0.18804173864977086
CRWD,MED,2023-10-23,176.0,2023-11-20,211.2,TARGET,19.999999999999993,14,0.12715250292079458
ETSY,MED,2021-09-06,219.96499633789062,2021-09-27,202.36779663085937,STOP,-8.0,7,0.17294853989760886
ETSY,MED,2023-01-09,122.7300033569336,2023-01-30,147.2760040283203,TARGET,19.99999999999999,9,0.1338615947765273
ZTS,MED,2023-01-30,158.50957207099682,2023-08-28,186.884521484375,TIME,17.90109520999083,6,0.2699284697634837
LMT,MED,2022-11-07,441.8966222412012,2023-01-16,406.54489246190514,STOP,-7.9999999999999964,10,0.16178543867561973
GD,MED,2022-02-28,211.0299163686847,2022-06-13,194.14752305918992,STOP,-7.999999999999999,16,0.1185917448094568
GD,MED,2022-11-14,227.8851933122732,2023-01-23,209.65437784729136,STOP,-7.999999999999995,13,0.1038210154436421
GD,MED,2023-08-14,215.7837851890168,2024-01-29,258.9405422268202,TARGET,20.000000000000004,5,0.1283331735195547
GD,MED,2025-05-19,276.93388594142937,2025-09-29,332.32066312971523,TARGET,19.999999999999996,6,0.24761740938346538
CLF,MED,2022-03-21,27.940000534057617,2022-04-04,33.52800064086914,TARGET,19.99999999999999,36,0.1698187660510813
CLF,MED,2023-01-16,21.040000915527344,2023-02-13,19.356800842285157,STOP,-7.9999999999999964,12,0.2010465540675206
CLF,MED,2023-12-04,18.100000381469727,2024-03-25,21.72000045776367,TARGET,19.999999999999996,19,0.22491059192215904
PGR,MED,2022-08-29,113.98743020114766,2022-10-10,104.86843578505585,STOP,-7.9999999999999964,17,0.15920041223991527
PGR,MED,2023-02-13,127.03163305040671,2023-05-01,116.86910240637418,STOP,-7.999999999999993,19,0.1273780117328251
PGR,MED,2023-10-02,127.07927899621528,2024-01-08,152.49513479545834,TARGET,20.000000000000004,6,0.15814764367957135
PGR,MED,2024-08-26,223.2468166077829,2025-03-03,267.8961799293395,TARGET,20.000000000000004,5,0.28181297762518953
MKTX,MED,2022-12-12,268.1307816099685,2023-01-16,321.75693793196217,TARGET,19.999999999999993,16,0.19783710021535214
MKTX,MED,2024-08-12,228.67149739989088,2024-10-14,274.40579687986906,TARGET,20.0,8,0.20146562027188503
DHI,MED,2022-12-12,82.81021296376089,2023-01-30,99.37225555651307,TARGET,20.0,27,0.1815760937840685
KO,MED,2021-10-04,46.726879778299896,2022-03-28,56.07225573395987,TARGET,19.99999999999999,6,0.18815094881341204
KO,MED,2022-01-03,52.201072919248524,2022-08-01,57.08800506591797,TIME,9.361746556874785,9,0.17183721871392307
KO,MED,2024-06-03,59.580410000695025,2024-12-30,59.98038101196289,TIME,0.6713129554885571,11,0.10799617258882542
CMS,MED,2022-03-28,60.88861089110579,2022-06-13,56.01752201981733,STOP,-8.000000000000002,5,0.12253325612857777
CMS,MED,2024-05-20,60.136948832113575,2024-12-16,64.15093231201172,TIME,6.674737508057022,12,0.20263769379176882
CMS,MED,2024-08-19,63.46507498512942,2025-03-17,71.34140014648438,TIME,12.410487442424778,8,0.11755731428675154
CMS,MED,2025-03-17,70.85608449922938,2025-10-13,73.66748809814453,TIME,3.967765956564712,8,0.10198689384650488
PFG,MED,2021-11-22,61.07887545500595,2022-03-07,56.192565418605476,STOP,-7.9999999999999964,19,0.10721800985411704
PFG,MED,2022-01-17,66.46224062466838,2022-01-24,61.14526137469491,STOP,-8.0,6,0.10617707312844617
IQV,MED,2022-08-15,244.75,2022-08-22,225.17000000000002,STOP,-7.999999999999993,12,0.13495992626420728
SHOP,MED,2023-01-09,37.70000076293945,2023-01-23,45.24000091552734,TARGET,19.99999999999999,18,0.24601842012024241
RL,MED,2022-12-12,101.78305131459062,2023-01-30,122.13966157750875,TARGET,20.0,20,0.16865664424922203
RL,MED,2023-07-31,124.16892105013054,2023-08-14,114.2354073661201,STOP,-7.999999999999995,15,0.2322681227397751
BSX,MED,2022-12-12,46.29999923706055,2023-07-10,53.029998779296875,TIME,14.535636399858387,9,0.1482251699791619
BSX,MED,2023-12-25,55.81999969482422,2024-02-19,66.98399963378905,TARGET,19.999999999999986,21,0.10268580698607795
GPN,MED,2023-06-12,97.20340690143655,2023-07-31,116.64408828172385,TARGET,19.99999999999999,5,0.14443023567011717
GPN,MED,2023-08-14,122.92635589685544,2023-09-25,113.092247425107,STOP,-8.000000000000002,6,0.14187751094964215
CI,MED,2022-01-10,218.01291934912894,2022-01-31,200.57188580119862,STOP,-8.000000000000002,6,0.2505435433158251
CI,MED,2022-08-22,273.0970738951807,2023-03-20,251.24930798356627,STOP,-7.99999999999999,8,0.1146373926917762
CI,MED,2024-02-12,322.4925497363288,2024-09-09,355.8804626464844,TIME,10.35308038509841,17,0.14139159042553828
TGT,MED,2023-02-20,152.14830674132847,2023-03-20,139.97644220202218,STOP,-8.000000000000004,15,0.15768748819003203
EMN,MED,2022-01-03,104.53048625811522,2022-03-07,96.16804735746601,STOP,-7.999999999999992,9,0.2465047077532052
EMN,MED,2024-10-14,104.13934523086249,2024-10-28,95.8081976123935,STOP,-7.99999999999999,12,0.12909942137529062
MCO,MED,2023-06-19,331.6464489780266,2023-10-02,305.1147330597845,STOP,-7.999999999999999,14,0.1417130443356473
MCO,MED,2024-07-01,419.3081683651725,2025-01-27,495.66033935546875,TIME,18.20908266299303,13,0.1284139679777818
KLAC,MED,2021-09-27,348.046730370909,2021-10-04,320.2029919412363,STOP,-8.000000000000002,11,0.1631533768066856
KLAC,MED,2021-11-08,397.9272291112649,2021-12-20,366.0930507823637,STOP,-8.000000000000004,5,0.1645476774150935
KLAC,MED,2022-08-22,351.4906586580991,2022-08-29,323.3714059654512,STOP,-8.000000000000002,12,0.22864342644189328
KLAC,MED,2023-06-12,457.80023626395814,2023-11-20,549.3602835167497,TARGET,19.999999999999996,13,0.15916735332210732
KLAC,MED,2025-06-16,871.5011779067096,2025-09-15,1045.8014134880514,TARGET,19.999999999999986,10,0.21490767106951997
ZBH,MED,2022-12-19,121.86683421898833,2023-07-17,139.05735778808594,TIME,14.105990099166057,14,0.20305510063294438
WEC,MED,2022-04-11,91.25164962825279,2022-06-13,83.95151765799257,STOP,-8.000000000000002,7,0.1624612421473483
WEC,MED,2024-08-19,84.97193526641048,2025-02-24,101.96632231969258,TARGET,20.0,49,0.15007405285981665
CPT,MED,2024-05-27,97.46464770382015,2024-08-26,116.95757724458417,TARGET,19.999999999999993,9,0.17779262268411242
HUM,MED,2022-08-15,476.39499206702607,2022-09-12,438.283392701664,STOP,-7.999999999999993,10,0.1316864093687604
UHS,MED,2022-03-14,149.09427283094465,2022-04-04,137.16673100446909,STOP,-7.999999999999993,6,0.2811661094163174
A,MED,2022-11-28,152.22501367238272,2023-01-02,140.0470125785921,STOP,-7.999999999999997,10,0.17023548509046035
MTCH,MED,2024-08-26,36.58913819432442,2024-09-09,33.66200713877847,STOP,-7.999999999999988,6,0.3038158659188619
AMT,MED,2022-08-22,242.5057806831567,2022-08-29,223.1053182285042,STOP,-7.99999999999999,13,0.17703930830749245
ABBV,MED,2022-11-28,142.2072864398913,2023-01-30,130.8307035247,STOP,-8.000000000000002,13,0.1999423025325713
ZTO,MED,2021-10-18,28.42925174433781,2021-11-01,26.154911604790787,STOP,-8.0,5,0.11085516462748778
KEY,MED,2023-01-16,15.346301707942247,2023-03-06,14.118597571306868,STOP,-7.999999999999999,19,0.1440372767993055
KEY,MED,2023-12-11,12.003968920206228,2024-03-25,14.404762704247473,TARGET,19.99999999999999,7,0.23792821296599437
KEY,MED,2024-09-02,15.874836821664218,2024-09-09,14.60484987593108,STOP,-8.0,21,0.19606300452550426
CTSH,MED,2023-02-06,63.94134858684088,2023-02-27,58.82604069989361,STOP,-8.0,5,0.2635209557763827
CTSH,MED,2025-02-17,87.97253972536512,2025-02-24,80.93473654733592,STOP,-7.999999999999997,14,0.1900983003121788
ESS,MED,2024-05-27,245.22749496007387,2024-09-09,294.27299395208865,TARGET,20.000000000000004,7,0.1468277212307247
